"register","index","code","type","required","length","xsd_type","decimal","spec_type","spec_required","desc"
"C181","7","ALIQ_PIS","float","","008","","4","N","","Alíquota do PIS/Pasep (em percentual)"
"C181","8","QUANT_BC_PIS","float","","","","3","N","","Base de cálculo em quantidade PIS/Pasep"
"C181","9","ALIQ_PIS_QUANT","float","","","","4","N","","Alíquota do PIS/Pasep (em reais)"
"C181","10","VL_PIS","float","","","","2","N","","Valor do PIS/Pasep"
"C181","11","COD_CTA","char","","255","","","C","","Código da conta analítica contábil debitada/creditada"
"C185","2","CST_COFINS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente a COFINS"
"C185","3","CFOP","char","True","004*","numeric_code","","N","O","Código fiscal de operação e prestação"
"C185","4","VL_ITEM","float","True","","","2","N","O","Valor total do item"
"C185","5","VL_DESC","float","","","","2","N","","Valor do desconto comercial / Exclusão"
"C185","6","VL_BC_COFINS","float","","","","2","N","","Valor da base de cálculo da COFINS"
"C185","7","ALIQ_COFINS","float","","008","","4","N","","Alíquota da COFINS (em percentual)"
"C185","8","QUANT_BC_COFINS","float","","","","3","N","","Base de cálculo em quantidade COFINS"
"C185","9","ALIQ_COFINS_QUANT","float","","","","4","N","","Alíquota da COFINS (em reais)"
"C185","10","VL_COFINS","float","","","","2","N","","Valor da COFINS"
"C185","11","COD_CTA","char","","255","","","C","","Código da conta analítica contábil debitada/creditada"
"C188","2","NUM_PROC","char","True","020","","","C","O","Identificação do processo ou ato concessório"
"C188","3","IND_PROC","char","True","001*","","","C","O","Indicador da origem do processo"
"C190","2","COD_MOD","char","True","002*","","","C","O","Código do modelo do documento fiscal, conforme a Tabela 4.1.1 (Código 55 - Nota Fiscal Eletrônica)"
"C190","3","DT_REF_INI","date","True","008*","","","D","O","Data Inicial de Referencia da Consolidação"
"C190","4","DT_REF_FIN","date","True","008*","","","D","O","Data Final de Referencia da Consolidação"
"C190","5","COD_ITEM","char","True","060","","","C","O","Código do item (campo 02 do Registro 0200)"
