"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"C175","pva","3","VL_OPER","Valor da operação na combinação de CFOP, CST e alíquotas, correspondente ao somatório do valor das mercadorias e produtos constantes no documento","N","","2","O"
"C175","pva","4","VL_DESC","Valor do desconto comercial/Exclusão","N","","2",""
"C175","pva","5","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3.","N","002*","","O"
"C175","pva","6","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep (em valor)","N","","2",""
"C175","pva","7","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C175","pva","8","QUANT_BC_PIS","Base de cálculo PIS/Pasep (em quantidade)","N","","3",""
"C175","pva","9","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em Reais)","N","","4",""
"C175","pva","10","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C175","pva","11","CST_COFINS","Código da Situação Tributária referente a COFINS conforme a Tabela indicada no item 4.3.4.","N","002*","","O"
"C175","pva","12","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C175","pva","13","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C175","pva","14","QUANT_BC_COFINS","Base de cálculo COFINS (em quantidade)","N","","3",""
"C175","pva","15","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C175","pva","16","VL_COFINS","Valor da COFINS","N","","2",""
"C175","pva","17","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C175","pva","18","INFO_COMPL","Informação complementar","C","","",""
"C180","pva","1","REG","Texto fixo contendo “C180”","C","004","","OC"
"C180","pva","2","COD_MOD","Texto fixo contendo “55” - Código da Nota Fiscal Eletrônica, modelo 55","C","002*","","O"
"C180","pva","3","DT_DOC_INI","Data de Emissão Inicial dos Documentos","D","008*","","O"
"C180","pva","4","DT_DOC_FIN","Data de Emissão Final dos Documentos","D","008*","","O"
"C180","pva","5","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C180","pva","6","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008","",""
"C180","pva","7","EX_IPI","Código EX, conforme a TIPI","C","003","",""
"C180","pva","8","VL_TOT_ITEM","Valor Total do Item","N","","2","O"
"C181","pva","1","REG","Texto fixo contendo “C181”","C","004","",""
"C181","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C181","pva","3","CFOP","Código fiscal de operação e prestação","N","004*","","O"
"C181","pva","4","VL_ITEM","Valor total do item","N","","2","O"
"C181","pva","5","VL_DESC","Valor do desconto comercial / Exclusão","N","","2",""
"C181","pva","6","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C181","pva","7","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C181","pva","8","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"C181","pva","9","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em reais)","N","","4",""
"C181","pva","10","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C181","pva","11","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C185","pva","1","REG","Texto fixo contendo “C185”","C","004","","O"
"C185","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C185","pva","3","CFOP","Código fiscal de operação e prestação","N","004*","","O"
"C185","pva","4","VL_ITEM","Valor total do item","N","","2","O"
